rank,item_label,column_name,mean_rating,n_valid
1,"During the academic semesters of your MAcc program, how many hours did you spend completing coursework outside of class for the BUSIEST week? - Hours per week",Q47_1,18.232143,56
2,"How many hours do you think a MAcc student SHOULD BE EXPECTED to spend completing coursework outside of class, on average? - Hours per week",Q49_1,12.250000,56
3,"During the academic semesters of your MAcc program, how many hours did you spend completing coursework outside of class for an AVERAGE week? - Hours per week",Q46_5,12.017857,56
4,"During the academic semesters of your MAcc program, how many hours did you spend completing coursework outside of class for the LEAST BUSY week? - Hours per week",Q48_1,5.892857,56
5,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6540 Professional Ethics,Q35_3,5.854545,55
6,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6350 Management Control Systems,Q35_9,5.127273,55
7,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6600 Business Law for Accountants,Q35_10,5.090909,55
8,Rate ACC 6020 Advanced Financial Application on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6020 Advanced Financial Application,Q76_1,5.000000,5
9,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6510 Financial Audit,Q35_4,4.818182,55
10,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6060 Professionalism and Leadership,Q35_1,4.690909,55
11,Rate ACC 679R Taxation of Business Entities II on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 679R Taxation of Business Entities II,Q79_7,4.576923,26
12,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6560 Financial Theory & Research I,Q35_8,4.472727,55
13,Rate ACC 6600 Business Law for Accountants (if not taken as core) - on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6600 Business Law for Accountants (if taken as an elective),Q81_9,4.272727,11
14,Rate ACC 6410 Tax Research & Procedure on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6410 Tax Research & Procedure,Q80_6,4.250000,4
15,Rate ACC 6150 Information Systems Audit on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6150 Information Systems Audit,Q78_3,4.142857,28
16,Rate ACC 6250 Financial Reporting and Analysis on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6250 Financial Reporting and Analysis,Q83_4,3.833333,24
17,Rate ACC 6350 Management Control Systems (if not taken as core) - on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6350 Mgmt Control Sys (if taken as an elective),Q82_5,3.692308,13
18,Rate ACC 6140 Fraud Examination & Forensic Accounting on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6140 Fraud Examination & Forensic Accounting,Q77_2,3.684211,19
19,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6300 Data Analytics,Q35_5,3.545455,55
20,Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you? (Must drag EACH course into the order desired.) - ACC 6400 Advanced Tax Business Entities,Q35_2,2.400000,55
